IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-17 00:00:31状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: PC设备 | 时间: 2024-04-17 00:00:33状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: iOS/iPad | 时间: 2024-04-17 00:00:35状态: Referer验证失败
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: Android | 时间: 2024-04-17 00:00:37状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: HarmonyOS | 时间: 2024-04-17 00:00:42状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: HarmonyOS | 时间: 2024-04-17 00:00:46状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-17 00:00:46状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: Android | 时间: 2024-04-17 00:00:48状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: HarmonyOS | 时间: 2024-04-17 00:00:49状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: HarmonyOS | 时间: 2024-04-17 00:00:52状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: HarmonyOS | 时间: 2024-04-17 00:00:54状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: HarmonyOS | 时间: 2024-04-17 00:00:54状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: iOS/iPad | 时间: 2024-04-17 00:00:59状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-17 00:01:01状态: Referer验证失败
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: HarmonyOS | 时间: 2024-04-17 00:01:04状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: iOS/iPad | 时间: 2024-04-17 00:01:21状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: iOS/iPad | 时间: 2024-04-17 00:01:22状态: Referer验证失败
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: HarmonyOS | 时间: 2024-04-17 00:01:26状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: iOS/iPad | 时间: 2024-04-17 00:01:38状态: Referer验证失败
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: Android | 时间: 2024-04-17 00:01:39状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: HarmonyOS | 时间: 2024-04-17 00:01:39状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-17 00:01:40状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: iOS/iPad | 时间: 2024-04-17 00:01:41状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-17 00:01:42状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: iOS/iPad | 时间: 2024-04-17 00:01:43状态: Referer验证失败
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: Android | 时间: 2024-04-17 00:01:44状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: PC设备 | 时间: 2024-04-17 00:01:44状态: Referer验证失败
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: Android | 时间: 2024-04-17 00:01:45状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-17 00:01:50状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-17 00:02:04状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-17 00:02:07状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: Android | 时间: 2024-04-17 00:02:08状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: Android | 时间: 2024-04-17 00:02:11状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-17 00:02:17状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: iOS/iPad | 时间: 2024-04-17 00:02:22状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: iOS/iPad | 时间: 2024-04-17 00:02:23状态: Referer验证失败
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: Android | 时间: 2024-04-17 00:02:27状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: iOS/iPad | 时间: 2024-04-17 00:02:28状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: Android | 时间: 2024-04-17 00:02:32状态: Referer验证失败
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: iOS/iPad | 时间: 2024-04-17 00:02:34状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: iOS/iPad | 时间: 2024-04-17 00:02:34状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-17 00:02:42状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: iOS/iPad | 时间: 2024-04-17 00:02:44状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: HarmonyOS | 时间: 2024-04-17 00:02:49状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: HarmonyOS | 时间: 2024-04-17 00:02:52状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-17 00:02:53状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: HarmonyOS | 时间: 2024-04-17 00:03:15状态: Referer验证失败
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: Android | 时间: 2024-04-17 00:03:15状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-17 00:03:16状态: Referer验证成功
IP: 222.187.222.103 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 电信 | 设备: Android | 时间: 2024-04-17 00:03:17状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: iOS/iPad | 时间: 2024-04-17 00:03:22状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-17 00:03:27状态: Referer验证失败
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-17 00:03:30状态: Referer验证成功
IP: 43.248.186.181 | 域名: a1.niupk.com | 城市: 宿迁 | 运营商: 移动 | 设备: Android | 时间: 2024-04-17 00:03:40状态: Referer验证失败
